X,Y,id,type,modified,language,bibliographicCitation,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,catalogNumber,occurrenceRemarks,individualCount,lifeStage,occurrenceStatus,samplingProtocol,eventDate,startDayOfYear,year,month,day,fieldNumber,waterBody,country,stateProvince,county,locality,minimumDepthInMeters,maximumDepthInMeters,verbatimCoordinateSystem,decimalLatitude,decimalLongitude,geodeticDatum,coordinatePrecision,footprintWKT,typeStatus,scientificNameID,scientificName,kingdom,phylum,class,order_,family,genus,subgenus,specificEpithet,infraspecificEpithet,scientificNameAuthorship,FID
178.551,-18.206,1,PhysicalObject,2014/06/08 12:00:00+00,en,Aspella media (Muricidae from Fiji and Tonga 1),Muséum national d’Histoire naturelle,Muricidae from Fiji and Tonga,Muricidae from Fiji and Tonga,MNHN,Human Observation,CP 1366 Aspella media,GearType=beam trawl,2,,present,GearType=beam trawl,1998/08/15,227,1998,8,15,CP 1366,South Pacific Ocean,,,,,149,168,decimal degrees,-18.206,178.551,WGS84,30,POINT (178.551 -18.206),,urn:lsid:marinespecies.org:taxname:404860,Aspella media,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Aspella,,media,,"Houart, 1987",1
178.3906667,-18.1855,2,PhysicalObject,2014/06/08 12:00:00+00,en,Aspella media (Muricidae from Fiji and Tonga 2),Muséum national d’Histoire naturelle,Muricidae from Fiji and Tonga,Muricidae from Fiji and Tonga,MNHN,Human Observation,CP 1369 Aspella media,GearType=beam trawl,1,,present,GearType=beam trawl,1998/08/16,228,1998,8,16,CP 1369,South Pacific Ocean,,,,,392,433,decimal degrees,-18.1855,178.3906667,WGS84,30,POINT (178.390666666667 -18.1855),,urn:lsid:marinespecies.org:taxname:404860,Aspella media,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Aspella,,media,,"Houart, 1987",2
179.9865,-16.753167,3,PhysicalObject,2014/06/08 12:00:00+00,en,Aspella media (Muricidae from Fiji and Tonga 3),Muséum national d’Histoire naturelle,Muricidae from Fiji and Tonga,Muricidae from Fiji and Tonga,MNHN,Human Observation,CP 1394 Aspella media,GearType=beam trawl,1,,present,GearType=beam trawl,1999/02/23,54,1999,2,23,CP 1394,South Pacific Ocean,,,,,416,416,decimal degrees,-16.753167,179.9865,WGS84,30,POINT (179.9865 -16.753167),,urn:lsid:marinespecies.org:taxname:404860,Aspella media,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Aspella,,media,,"Houart, 1987",3
178.1,-18.31667,4,PhysicalObject,2014/06/08 12:00:00+00,en,Aspella media (Muricidae from Fiji and Tonga 4),Muséum national d’Histoire naturelle,Muricidae from Fiji and Tonga,Muricidae from Fiji and Tonga,MNHN,Human Observation,DW 1384 Aspella media,GearType=Warén dredge,2,,present,GearType=Warén dredge,,,,,,DW 1384,South Pacific Ocean,,,,,260,305,decimal degrees,-18.31667,178.1,WGS84,200,POINT (178.1 -18.31667),,urn:lsid:marinespecies.org:taxname:404860,Aspella media,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Aspella,,media,,"Houart, 1987",4
177.21667,-17.86667,5,PhysicalObject,2014/06/08 12:00:00+00,en,Aspella media (Muricidae from Fiji and Tonga 5),Muséum national d’Histoire naturelle,Muricidae from Fiji and Tonga,Muricidae from Fiji and Tonga,MNHN,Human Observation,DW 44 Aspella media,GearType=Warén dredge,1,,present,GearType=Warén dredge,,,,,,DW 44,South Pacific Ocean,,,,,33,33,decimal degrees,-17.86667,177.21667,WGS84,200,POINT (177.21667 -17.86667),,urn:lsid:marinespecies.org:taxname:404860,Aspella media,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Aspella,,media,,"Houart, 1987",5
177.2,-17.81667,6,PhysicalObject,2014/06/08 12:00:00+00,en,Aspella media (Muricidae from Fiji and Tonga 6),Muséum national d’Histoire naturelle,Muricidae from Fiji and Tonga,Muricidae from Fiji and Tonga,MNHN,Human Observation,DW 74 Aspella media,GearType=Warén dredge,1,,present,GearType=Warén dredge,,,,,,DW 74,South Pacific Ocean,,,,,38,38,decimal degrees,-17.81667,177.2,WGS84,200,POINT (177.2 -17.81667),,urn:lsid:marinespecies.org:taxname:404860,Aspella media,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Aspella,,media,,"Houart, 1987",6
178.58333,-18.2,7,PhysicalObject,2014/06/08 12:00:00+00,en,Attiliosa caledonica (Muricidae from Fiji and Tonga 7),Muséum national d’Histoire naturelle,Muricidae from Fiji and Tonga,Muricidae from Fiji and Tonga,MNHN,Human Observation,DW 04 Attiliosa caledonica,GearType=Warén dredge,1,,present,GearType=Warén dredge,,,,,,DW 04,South Pacific Ocean,,,,,100,122,decimal degrees,-18.2,178.58333,WGS84,200,POINT (178.58333 -18.2),,urn:lsid:marinespecies.org:taxname:406370,Attiliosa caledonica,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Attiliosa,,caledonica,,"(Jousseaume, 1881)",7
178.03333,-18.36667,8,PhysicalObject,2014/06/08 12:00:00+00,en,Attiliosa caledonica (Muricidae from Fiji and Tonga 8),Muséum national d’Histoire naturelle,Muricidae from Fiji and Tonga,Muricidae from Fiji and Tonga,MNHN,Human Observation,DW 08 Attiliosa caledonica,GearType=Warén dredge,1,,present,GearType=Warén dredge,,,,,,DW 08,South Pacific Ocean,,,,,28,30,decimal degrees,-18.36667,178.03333,WGS84,200,POINT (178.03333 -18.36667),,urn:lsid:marinespecies.org:taxname:406370,Attiliosa caledonica,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Attiliosa,,caledonica,,"(Jousseaume, 1881)",8
177.98333,-18.46667,9,PhysicalObject,2014/06/08 12:00:00+00,en,Attiliosa caledonica (Muricidae from Fiji and Tonga 9),Muséum national d’Histoire naturelle,Muricidae from Fiji and Tonga,Muricidae from Fiji and Tonga,MNHN,Human Observation,DW 23 Attiliosa caledonica,GearType=Warén dredge,1,,present,GearType=Warén dredge,,,,,,DW 23,South Pacific Ocean,,,,,31,32,decimal degrees,-18.46667,177.98333,WGS84,200,POINT (177.98333 -18.46667),,urn:lsid:marinespecies.org:taxname:406370,Attiliosa caledonica,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Attiliosa,,caledonica,,"(Jousseaume, 1881)",9
178.03333,-18.36667,10,PhysicalObject,2014/06/08 12:00:00+00,en,Attiliosa nodulifera (Muricidae from Fiji and Tonga 10),Muséum national d’Histoire naturelle,Muricidae from Fiji and Tonga,Muricidae from Fiji and Tonga,MNHN,Human Observation,DW 08 Attiliosa nodulifera,GearType=Warén dredge,1,,present,GearType=Warén dredge,,,,,,DW 08,South Pacific Ocean,,,,,28,30,decimal degrees,-18.36667,178.03333,WGS84,200,POINT (178.03333 -18.36667),,urn:lsid:marinespecies.org:taxname:406376,Attiliosa nodulifera,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Attiliosa,,nodulifera,,"(G. B. Sowerby II, 1841)",10
-178.409,-18.725333,11,PhysicalObject,2014/06/08 12:00:00+00,en,Bouchetia vaubanensis (Muricidae from Fiji and Tonga 11),Muséum national d’Histoire naturelle,Muricidae from Fiji and Tonga,Muricidae from Fiji and Tonga,MNHN,Human Observation,DW 1497 Bouchetia vaubanensis,GearType=Warén dredge,1,,present,GearType=Warén dredge,1999/03/12,71,1999,3,12,DW 1497,South Pacific Ocean,,,,,335,350,decimal degrees,-18.725333,-178.409,WGS84,30,POINT (-178.409 -18.725333),,urn:lsid:marinespecies.org:taxname:406287,Bouchetia vaubanensis,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Bouchetia,,vaubanensis,,"(Houart, 1986)",11
